title,year,conference
 Look and think twice: Capturing top-down visualattention with feedback convolutional neural networks,2015, In Proceedings of the IEEE InternationalConference on Computer Vision
 Human pose estimationwith iterative error feedback,2016, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Multitask learning,1997, Machine learning
 Gradnorm: Gra-dient normalization for adaptive loss balancing in deep multitask networks,2017, arXiv preprintarXiv:1711
 Superpositionof many models into one,2019, arXiv preprint arXiv:1902
 A unified architecture for natural language processing: Deepneural networks with multitask learning,2008, In Proceedings of the 25th international conference onMachine learning
 Top-down modulation: bridging selective attention and workingmemory,2012, Trends in cognitive sciences
 A joint many-taskmodel: Growing a neural network for multiple nlp tasks,2016, arXiv preprint arXiv:1611
 Mask r-cnn,2017, In Proceedings oftheIEEE international conference on computer vision
 The neural mechanisms oftop-down attentional control,2000, Nature neuroscience
 Clevr: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Gradient-based learning appliedto document recognition,1998, Proceedings of the IEEE
 Clevr-ref+: Diagnosing visual reasoningwith referring expressions,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Attentive single-tasking of multi-ple tasks,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Cross-stitch networks formulti-task learning,2016, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Network model of top-downinfluences on local gain and contextual interactions in visual cortex,2013, Proceedings of the NationalAcademy of Sciences
 An overview of mUlti-task learning in deep neUral networks,2017, arXiv preprintarXiv:1706
 Progressive neUral networks,2016, arXiv preprintarXiv:1606
 MUlti-task learning as mUlti-objective optimization,2018, In Advancesin Neural Information Processing Systems
 Feedback networks,2017, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Top-down modUlationof visUal featUre processing: the role of the inferior frontal jUnction,2010, Neuroimage
