title,year,conference
 Efficient architecture search by network transfor-mation,2018, In AAAI Conference on Artificial Intelligence
 Proxylessnas: Direct neural architecture search on target task andhardware,2019, 2019
 Autoaugment: Learning augmentationpolicies from data,2019, In Computer Vision and Pattern Recognition
 Imagenet: A large-scale hierarchicalimage database,2009, In Computer Vision and Pattern Recognition
 Nas-fpn: Learning scalable feature pyramid architecture forobject detection,2019, In Computer Vision and Pattern Recognition
 Single path one-shot neuralarchitecture search with uniform sampling,2019, arXiv preprint arXiv:1904
 Deep residual learning for image recognition,2016, In ComputerVision and Pattern Recognition
 Squeeze-and-excitation networks,2018, In Computer Vision and PatternRecognition
 Densely connected convolutionalnetworks,2017, In Computer Vision and Pattern Recognition
 Imagenet classification with deep convolutionalneural networks,2012, In Advances in Neural Information Processing Systems
 Deep learning,2015, Nature
 Darts+: Improved differentiablearchitecture search with early stopping,2019, arXiv preprint arXiv:1909
 Progressive neural architecture search,2018, In European Conference on Computer Vision
 Auto-deeplab:Hierarchical neural architecture search for semantic image segmentation,2019, In Computer Visionand Pattern Recognition
 Hierarchical representationsfor efficient architecture search,2018, In International Conference on Learning Representations
 Darts: Differentiable architecture search,2019, In InternationalConference on Learning Representations
 Neural architecture optimization,2018, In Advances inNeural Information Processing Systems
 Shufflenet v2: Practical guidelines for efficient cnnarchitecture design,2018, In European Conference on Computer Vision
 Xnas: Neural architecturesearch with expert advice,2019, arXiv preprint arXiv:1906
 Efficient neural architecture search via parametersharing,2018, In International Conference on Machine Learning
 Large-scaleevolution of image classifiers,2017, In International Conference on Machine Learning
 Regularized evolution for image classifier architec-ture search,2019, In AAAI Conference on Artificial Intelligence
 Going deeper with convolutions,2015, In Computer Vision and Pattern Recognition
 Efficientnet: Rethinking model scaling for convolutional neural networks,2019, InInternational Conference on Machine Learning
 Mnasnet: Platform-aware neural architecture search for mobile,2019, In Computer Vision and Pattern Recognition
 Genetic CNN,2017, In International Conference on Computer Vision
 SNAS: Stochastic neural architecture search,2018, arXiv preprintarXiv:1812
 Exploring randomly wired neural networks for imagerecognition,2019, In International Conference on Computer Vision
 Pc-darts: Partial channel connec-tions for memory-efficient differentiable architecture search,2019, arXiv preprint arXiv:1907
 Shufflenet: An extremely efficient convolutional neuralnetwork for mobile devices,2018, In Computer Vision and Pattern Recognition
 Bayesnas: A bayesian approach for neural architecturesearch,2019, arXiv preprint arXiv:1905
 Neural architecture search with reinforcement learning,2017, In InternationalConference on Learning Representations
 Learning transferable architectures for scalableimage recognition,2018, In Computer Vision and Pattern Recognition
